filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
instructionAPI/src/InstructionDecoder-power.h,37,0,0.0,95,0,0.0,19,0,0.0,3,2.547872340425531,6.962765957446806,0.11170212765957409,13,148,181,10,188,383,1446,0,10162,0,0,10162,16.0,1.6
dataflowAPI/rose/util/IntervalSet.h,20,0,0.0,34,0,0.0,0,0,,2,2.3461538461538423,4.153846153846153,0.7820512820512822,4,10,23,5,78,221,16,0,16917,0,0,16917,106.4,1.4
dyninstAPI/src/Relocation/CodeBuffer.h,8,0,0.0,8,0,0.0,1,0,0.0,5,2.8108108108108123,7.4324324324324325,1.1351351351351335,10,22,32,19,37,104,86,0,10123,0,0,10123,5.0,1.0
dyninstAPI/src/parRegion.h,11,0,0.0,26,0,0.0,2,0,0.0,3,2.800000000000003,5.966666666666667,0.7666666666666667,4,7,61,11,30,74,10,0,10997,0,0,10997,15.0,1.0
dyninstAPI/h/BPatch_instruction.h,7,0,0.0,54,0,0.0,0,0,,7,2.08,3.6,0.64,4,21,18,12,25,58,64,0,5190,0,0,5190,27.0,1.5
dyninstAPI/h/BPatch_process.h,16,0,0.0,35,0,0.0,2,0,0.0,12,3.9571428571428555,17.84285714285713,1.1000000000000014,24,25,222,22,70,301,432,0,11182,0,0,11182,16.0,1.0
dyninstAPI/src/image.h,48,0,0.0,148,0,0.0,3,0,0.0,24,2.51111111111111,5.88888888888889,0.7777777777777778,6,27,35,10,45,93,51,0,11380,0,0,11380,51.0,1.0
dyninstAPI/h/BPatch.h,1,0,0.0,0,0,,0,0,,53,3.53846153846154,13.7596153846154,1.33653846153846,24,36,88,47,104,371,864,0,13285,0,0,13285,2.0,1.0
dyninstAPI/src/binaryEdit.h,26,0,0.0,30,0,0.0,8,0,0.0,5,3.3382352941176485,13.838235294117668,1.220588235294114,29,38,147,18,68,216,764,0,13206,0,0,13206,15.6,1.2
dyninstAPI/src/BPatch_collections.h,3,0,0.0,12,0,0.0,1,0,0.0,22,3.185185185185183,9.592592592592606,0.6296296296296299,11,7,44,9,27,92,30,0,6925,0,0,6925,4.0,1.0
common/h/MachSyscall.h,2,0,0.0,31,0,0.0,0,0,,2,2.0833333333333353,4.333333333333333,1.166666666666665,7,10,14,5,12,28,22,0,0,0,0,0,4.0,1.0
common/h/DynAST.h,29,0,0.0,52,0,0.0,16,0,0.0,17,2.3846153846153824,2.96153846153846,0.8846153846153846,2,26,28,0,26,30,28,0,0,0,0,0,23.1,1.1
symtabAPI/src/Symtab-lookup.C,418,24,0.057,478,11,0.023,41,5,0.122,2,4.4,13.2,2.4,4,5,47,0,5,11,13,0,21607,1,2,21605,189.0,4.5
common/h/VariableLocation.h,15,0,0.0,18,0,0.0,1,0,0.0,13,2.0,8.75,0.75,0,4,10,7,4,11,0,0,9074,0,0,9074,8.0,4.0
common/h/Graph.h,2,0,0.0,0,0,,2,0,0.0,0,2.6666666666666665,8.444444444444446,1.111111111111114,2,8,80,5,27,65,10,0,0,0,0,0,4.0,1.0
symtabAPI/src/dwarfWalker.C,1396,27,0.019,3226,24,0.0069999999999999,89,2,0.022,0,2.0,3.0,2.0,1,1,3,2,1,4,1,0,13501,1,0,13501,431.2000000000001,4.9
symtabAPI/h/symutil.h,1,1,1.0,12,2,0.1669999999999999,0,0,,1,2.0,13.0,1.0,0,1,13,5,1,1,0,0,5190,0,0,5190,0.0,0.0
symtabAPI/h/Symtab.h,1,0,0.0,2,0,0.0,0,0,,39,3.7083333333333326,15.354166666666638,1.171874999999996,33,74,159,56,192,630,2207,0,18916,0,0,18916,9.1,1.3
common/src/dthread-unix.C,32,0,0.0,10,0,0.0,7,0,0.0,1,2.0,9.0,1.0,2,1,9,2,1,4,2,0,12,1,0,12,9.8,1.4
common/src/arch-power.h,16,0,0.0,13,0,0.0,0,0,,8,2.63636363636364,6.78787878787879,0.818181818181818,1,19,29,3,33,63,19,0,7798,0,0,7798,13.0,1.0
